track_name,track_id,track_uri,artist_name,album_name,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,popularity,release_date,genre
Don't Surrender,7CYmaKqY6HuQrP8JBaniAP,spotify:track:7CYmaKqY6HuQrP8JBaniAP,Egzod,Don't Surrender,spotify:album:6rnQEX7eeA2POsxsk38QIV,0.249,0.924,5,-2.193,0,0.073,0.218,0.000134,0.129,0.33,89.326,spotify:track:7CYmaKqY6HuQrP8JBaniAP,165166,4,50,2020-09,Electronic
Carpe Diem,4IEvn9Zeh2wjqWt7lhFRIZ,spotify:track:4IEvn9Zeh2wjqWt7lhFRIZ,Dinis,Agua de Cadaqués,spotify:album:6fo2vrnPAikfVz0Efe4dVp,0.866,0.437,2,-13.644,0,0.0592,0.682,0.802,0.0985,0.727,130.0,spotify:track:4IEvn9Zeh2wjqWt7lhFRIZ,145600,4,50,2024-05,Instrumental
Closer,1rGnpPG0QHfqjDgM8cIf4A,spotify:track:1rGnpPG0QHfqjDgM8cIf4A,ARTBAT,Montserrat / Closer,spotify:album:2XkPQxDWtW7gS4CHy6ab67,0.731,0.592,10,-9.577,0,0.0639,0.00527,0.52,0.075,0.19,125.005,spotify:track:1rGnpPG0QHfqjDgM8cIf4A,460800,4,52,2019-05,Techno
Me Siento Perdido,1MWEsvmtNneecpUrSgSnz8,spotify:track:1MWEsvmtNneecpUrSgSnz8,Eslabon Armado,Corta Venas,spotify:album:7C8Wi2KmO6MqPYZqNuhZ1W,0.504,0.744,3,-6.233,0,0.0386,0.0769,2.23e-05,0.0918,0.57,117.558,spotify:track:1MWEsvmtNneecpUrSgSnz8,234068,4,51,2020-12,Música Mexicana
Words Fail,32bZDrurIGh2Cts0l2tRtL,spotify:track:32bZDrurIGh2Cts0l2tRtL,Ben Platt,Dear Evan Hansen (Original Broadway Cast Recording),spotify:album:0LhDyJXelg31FKLW5GDcKi,0.368,0.237,0,-9.49,1,0.0389,0.792,0.0,0.122,0.328,95.871,spotify:track:32bZDrurIGh2Cts0l2tRtL,351920,3,50,2017-02,Soundtrack
Prep-School Gangsters,0NiaHPlgDp7081zSqXuULS,spotify:track:0NiaHPlgDp7081zSqXuULS,Vampire Weekend,Only God Was Above Us,spotify:album:1W04wu2W4OIcuiNc5AMB3y,0.711,0.662,10,-3.843,1,0.0262,0.34,0.00774,0.434,0.279,121.105,spotify:track:0NiaHPlgDp7081zSqXuULS,228546,4,52,2024-04,Alternative
Alone With You,7mP7xwoYd7rSXbn1KXIiBb,spotify:track:7mP7xwoYd7rSXbn1KXIiBb,Ashlee,Alone With You,spotify:album:162riOLiTZmWKoERQJ91s4,0.762,0.245,1,-13.454,0,0.0625,0.886,6.05e-06,0.085,0.259,103.972,spotify:track:7mP7xwoYd7rSXbn1KXIiBb,196153,4,59,2019-01,R&B/Soul
You've Got The Love,0fPf9CDFzVnHpcfld5XVtO,spotify:track:0fPf9CDFzVnHpcfld5XVtO,Florence + The Machine,You've Got The Love,spotify:album:77JmKGdCSo3JuNelG5fofU,0.571,0.708,6,-4.74,1,0.0329,0.00407,0.0,0.125,0.398,109.899,spotify:track:0fPf9CDFzVnHpcfld5XVtO,168666,4,51,2010-01,Alternative
De Terugval!,3P4rZzLev6jaiMip1qMcWa,spotify:track:3P4rZzLev6jaiMip1qMcWa,Eves Laurent,Mijn Ziel Is Geen Deal,spotify:album:6RAXohmTXy9Y4qUpdprU2g,0.744,0.684,10,-7.432,0,0.287,0.342,0.0,0.112,0.517,95.015,spotify:track:3P4rZzLev6jaiMip1qMcWa,182688,4,51,2024-11,Hip-Hop/Rap
Enough,1Xe14jc7cae4RFLUtH55YE,spotify:track:1Xe14jc7cae4RFLUtH55YE,Miracle Tones,Anxiety Relief,spotify:album:5XF1VUAdmwVLiFHLh2892C,0.143,0.03,10,-35.529,1,0.0446,0.956,0.824,0.0836,0.13,140.44,spotify:track:1Xe14jc7cae4RFLUtH55YE,198500,4,56,2022-10,Meditation
La Jeepeta - Remix,6bvfJf4KjonPMuPfGfy3S2,spotify:track:6bvfJf4KjonPMuPfGfy3S2,Nio Garcia,Now Or Never,spotify:album:1BBjdKgGAqwdEvcvqBOGfT,0.814,0.714,4,-4.65,0,0.207,0.297,4.89e-06,0.091,0.789,176.013,spotify:track:6bvfJf4KjonPMuPfGfy3S2,345240,4,59,2020-07,Urbano latino
The Harder They Come,2XIr0KTybGQsC1SFfeaZhI,spotify:track:2XIr0KTybGQsC1SFfeaZhI,Jimmy Cliff,The Harder They Come (Original Motion Picture Soundtrack),spotify:album:4oxdKcC9epGo9viy1j8fN7,0.679,0.575,1,-8.037,1,0.0715,0.634,0.0,0.165,0.79,102.588,spotify:track:2XIr0KTybGQsC1SFfeaZhI,219906,4,53,1972-07,Pop
Ma famille d'abord,2WBENIA0l1F09YY6YaIcOL,spotify:track:2WBENIA0l1F09YY6YaIcOL,Bouss,Depuis le temps,spotify:album:2bha7Ff2j1zCBmECAXaxfu,0.524,0.601,1,-6.224,1,0.0982,0.111,0.0,0.0972,0.368,116.467,spotify:track:2WBENIA0l1F09YY6YaIcOL,171724,4,57,2024-05,Hip-Hop/Rap
Call Me Yours,7vW4SEiME2IOmd1FS3cZU2,spotify:track:7vW4SEiME2IOmd1FS3cZU2,Mackenzy Mackay,Call Me Yours,spotify:album:63fIbYtez5jLa6yxmwkiH8,0.77,0.467,10,-9.004,1,0.0954,0.212,0.000132,0.157,0.54,95.963,spotify:track:7vW4SEiME2IOmd1FS3cZU2,129848,4,57,2024-11,Pop
Glitch Mode,5b1PngLlxc7hj3fJXrE2Zm,spotify:track:5b1PngLlxc7hj3fJXrE2Zm,NCT DREAM,Glitch Mode - The 2nd Album,spotify:album:4cAcTMGFjTBufC7Eu0FizU,0.634,0.78,0,-2.323,0,0.0963,0.0164,0.0,0.141,0.694,166.923,spotify:track:5b1PngLlxc7hj3fJXrE2Zm,207053,4,53,2022-03,K-Pop
0321,3e0ceoakrA8NNWFPhNDXCp,spotify:track:3e0ceoakrA8NNWFPhNDXCp,space x,0321,spotify:album:4wL9wBIDpPgVIkLOzWQUB8,0.658,0.417,2,-6.485,1,0.0366,0.625,0.0,0.132,0.0748,171.974,spotify:track:3e0ceoakrA8NNWFPhNDXCp,194743,4,56,2021-06,Mandopop
NEXT TO ME,0w4nay6pIFD1q5OOdR5F4e,spotify:track:0w4nay6pIFD1q5OOdR5F4e,Kobi Jonz,XO SKELETON,spotify:album:1EvcBdm2gx26YxE2vm2Jg5,0.716,0.664,10,-5.409,0,0.251,0.588,8.25e-05,0.137,0.714,77.365,spotify:track:0w4nay6pIFD1q5OOdR5F4e,151618,5,50,2024-08,Afro-Beat
